in_hex,altr,cult,host,llar,localb,other,pers,quot,serv,tran,polygon,polygon_id
368.0,8.0,1.0,16.0,6.0,11.0,2.0,7.0,11.0,30.0,1.0,aoi_16,15.0
369.0,1.0,1.0,2.0,,10.0,4.0,,,6.0,1.0,out,115.0
370.0,,1.0,,1.0,2.0,4.0,,,2.0,1.0,out,115.0
371.0,1.0,,,,,14.0,,,8.0,1.0,out,115.0
372.0,5.0,1.0,5.0,2.0,31.0,4.0,1.0,2.0,10.0,1.0,out,115.0
373.0,16.0,2.0,7.0,3.0,43.0,4.0,8.0,9.0,31.0,5.0,out,115.0
374.0,11.0,4.0,22.0,4.0,41.0,4.0,13.0,17.0,49.0,2.0,out,115.0
375.0,9.0,2.0,8.0,6.0,60.0,15.0,5.0,12.0,44.0,6.0,out,115.0
375.0,9.0,2.0,8.0,6.0,60.0,15.0,5.0,12.0,44.0,6.0,aoi_23,22.0
376.0,4.0,5.0,13.0,2.0,25.0,13.0,1.0,6.0,32.0,,out,115.0
376.0,4.0,5.0,13.0,2.0,25.0,13.0,1.0,6.0,32.0,,aoi_24,23.0
377.0,3.0,4.0,14.0,6.0,20.0,8.0,10.0,13.0,43.0,6.0,out,115.0
378.0,9.0,3.0,14.0,6.0,27.0,5.0,5.0,14.0,26.0,6.0,out,115.0
379.0,5.0,1.0,16.0,4.0,39.0,12.0,9.0,10.0,42.0,6.0,out,115.0
380.0,,,5.0,,1.0,,,,,,out,115.0
381.0,,,,,1.0,1.0,,,,3.0,out,115.0
382.0,1.0,1.0,9.0,4.0,22.0,10.0,1.0,3.0,11.0,6.0,out,115.0
383.0,4.0,2.0,16.0,12.0,39.0,5.0,3.0,18.0,22.0,6.0,out,115.0
384.0,,,,,,2.0,,1.0,1.0,,out,115.0
385.0,1.0,,3.0,1.0,4.0,,1.0,1.0,2.0,,out,115.0
399.0,,,1.0,,,,,,,,out,115.0
407.0,,,,,,1.0,,,,,out,115.0
410.0,,,1.0,,1.0,,,,,,out,115.0
411.0,,,,,,1.0,,,2.0,,out,115.0
412.0,,,,,,1.0,,,2.0,,out,115.0
413.0,1.0,1.0,1.0,,,2.0,,,5.0,2.0,out,115.0
414.0,1.0,,4.0,5.0,3.0,1.0,2.0,18.0,9.0,2.0,out,115.0
415.0,5.0,3.0,12.0,6.0,51.0,1.0,3.0,14.0,15.0,5.0,out,115.0
416.0,2.0,,3.0,2.0,62.0,5.0,,8.0,16.0,5.0,out,115.0
417.0,5.0,,8.0,,7.0,1.0,,10.0,29.0,3.0,out,115.0
418.0,6.0,4.0,12.0,10.0,38.0,4.0,23.0,46.0,49.0,4.0,aoi_16,15.0
418.0,6.0,4.0,12.0,10.0,38.0,4.0,23.0,46.0,49.0,4.0,out,115.0
419.0,,,5.0,,4.0,5.0,2.0,5.0,8.0,1.0,out,115.0
420.0,2.0,,2.0,,4.0,,,1.0,1.0,,out,115.0
421.0,,1.0,,,3.0,3.0,,,2.0,,out,115.0
422.0,2.0,,1.0,,,1.0,,1.0,1.0,,out,115.0
423.0,1.0,1.0,3.0,,5.0,4.0,1.0,2.0,6.0,,out,115.0
424.0,15.0,3.0,11.0,5.0,34.0,8.0,6.0,11.0,50.0,10.0,out,115.0
425.0,20.0,1.0,14.0,8.0,61.0,21.0,5.0,7.0,56.0,10.0,out,115.0
425.0,20.0,1.0,14.0,8.0,61.0,21.0,5.0,7.0,56.0,10.0,aoi_24,23.0
426.0,8.0,8.0,29.0,13.0,67.0,28.0,12.0,22.0,47.0,10.0,out,115.0
426.0,8.0,8.0,29.0,13.0,67.0,28.0,12.0,22.0,47.0,10.0,aoi_24,23.0
427.0,3.0,2.0,17.0,8.0,57.0,13.0,9.0,18.0,40.0,14.0,out,115.0
427.0,3.0,2.0,17.0,8.0,57.0,13.0,9.0,18.0,40.0,14.0,aoi_24,23.0
428.0,4.0,1.0,16.0,11.0,16.0,7.0,10.0,54.0,39.0,3.0,out,115.0
429.0,2.0,2.0,13.0,1.0,12.0,10.0,3.0,11.0,31.0,6.0,out,115.0
430.0,1.0,1.0,2.0,1.0,11.0,,1.0,,1.0,1.0,out,115.0
431.0,2.0,,3.0,2.0,1.0,8.0,,1.0,5.0,,out,115.0
432.0,2.0,1.0,14.0,8.0,32.0,14.0,4.0,14.0,34.0,4.0,out,115.0
433.0,3.0,,6.0,3.0,13.0,3.0,1.0,6.0,15.0,,out,115.0
434.0,8.0,3.0,14.0,6.0,8.0,4.0,9.0,15.0,19.0,,out,115.0
435.0,1.0,1.0,2.0,,5.0,9.0,,1.0,4.0,,out,115.0
436.0,2.0,,4.0,,,,1.0,1.0,2.0,,out,115.0
448.0,,,,,,1.0,,,,,out,115.0
449.0,,,,,,1.0,,,,,out,115.0
450.0,,,3.0,,,2.0,,,,,out,115.0
456.0,,,,,,3.0,,,,,out,115.0
457.0,,1.0,2.0,,,1.0,,,,,out,115.0
462.0,,,,,,1.0,,,,,out,115.0
463.0,,,3.0,1.0,3.0,3.0,,,7.0,,out,115.0
464.0,5.0,2.0,3.0,,14.0,4.0,,5.0,6.0,3.0,out,115.0
465.0,1.0,,3.0,,8.0,,,,5.0,,out,115.0
466.0,3.0,,2.0,1.0,5.0,2.0,,2.0,6.0,1.0,out,115.0
467.0,2.0,5.0,9.0,3.0,3.0,7.0,10.0,10.0,23.0,,out,115.0
468.0,1.0,,3.0,1.0,2.0,2.0,,4.0,9.0,,out,115.0
469.0,3.0,2.0,9.0,4.0,8.0,1.0,6.0,11.0,24.0,2.0,out,115.0
470.0,2.0,,2.0,1.0,,,,9.0,4.0,,out,115.0
471.0,,,,,,5.0,,,2.0,,out,115.0
472.0,,,,,,1.0,,,,,out,115.0
473.0,,,,,2.0,2.0,,,1.0,,out,115.0
474.0,5.0,,13.0,3.0,48.0,3.0,2.0,12.0,20.0,3.0,out,115.0
475.0,23.0,6.0,11.0,2.0,78.0,6.0,3.0,6.0,30.0,13.0,out,115.0
476.0,9.0,4.0,17.0,9.0,83.0,15.0,8.0,21.0,42.0,5.0,out,115.0
476.0,9.0,4.0,17.0,9.0,83.0,15.0,8.0,21.0,42.0,5.0,aoi_24,23.0
477.0,8.0,4.0,25.0,10.0,57.0,16.0,15.0,13.0,48.0,11.0,out,115.0
478.0,2.0,2.0,7.0,2.0,16.0,5.0,1.0,3.0,19.0,7.0,out,115.0
479.0,10.0,4.0,15.0,1.0,27.0,10.0,9.0,13.0,55.0,7.0,out,115.0
480.0,2.0,,7.0,5.0,18.0,3.0,1.0,2.0,18.0,3.0,out,115.0
481.0,,,,,,4.0,,,1.0,,out,115.0
482.0,3.0,2.0,6.0,3.0,10.0,1.0,1.0,60.0,8.0,,out,115.0
483.0,5.0,1.0,15.0,2.0,22.0,6.0,12.0,12.0,42.0,3.0,out,115.0
484.0,3.0,2.0,14.0,11.0,16.0,6.0,12.0,17.0,36.0,1.0,out,115.0
485.0,2.0,2.0,15.0,9.0,13.0,3.0,6.0,18.0,40.0,4.0,out,115.0
486.0,2.0,,9.0,3.0,9.0,5.0,,2.0,8.0,3.0,out,115.0
487.0,2.0,,2.0,,1.0,,1.0,2.0,7.0,,out,115.0
488.0,,,1.0,,12.0,,,21.0,,,out,115.0
500.0,,,,,,1.0,,,,,out,115.0
501.0,,,,,,1.0,,,,,out,115.0
502.0,,,,,,1.0,,,,,out,115.0
511.0,,,1.0,,,,,,,,out,115.0
512.0,,,,,1.0,1.0,1.0,1.0,2.0,,out,115.0
513.0,2.0,,,,,1.0,,1.0,1.0,2.0,out,115.0
514.0,2.0,,2.0,,,9.0,,2.0,6.0,,out,115.0
515.0,,,1.0,1.0,,2.0,,1.0,2.0,,out,115.0
516.0,1.0,,4.0,1.0,4.0,1.0,1.0,3.0,5.0,2.0,out,115.0
517.0,1.0,,3.0,,5.0,3.0,1.0,8.0,6.0,,out,115.0
519.0,,,,,,,,,1.0,,out,115.0
520.0,2.0,,5.0,,10.0,,,3.0,4.0,,out,115.0
521.0,1.0,1.0,,2.0,14.0,,,,4.0,2.0,out,115.0
522.0,,,,,2.0,,,,,,out,115.0
